"","id","Letter","CorrAnswer","Stimulus","nback_run.thisRepN","nback_run.thisTrialN","nback_run.thisN","nback_run.thisIndex","fixcross.started","nback_trial.started","trial_resp.keys","trial_resp.corr","currentlevel","trial_resp.rt","Participant","date","expName","psychopyVersion","frameRate","X"
"67","C02N10_t1_nback.csv","N","left","Pretarget",0,2,2,2,328.879706607271,330.880994627528,"left",1,1,0.404741839356575,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"68","C02N10_t1_nback.csv","N","right","Target",0,3,3,3,332.378629835169,334.378865945482,"right",1,1,0.442984331706612,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"69","C02N10_t1_nback.csv","S","left","Distractor",0,4,4,4,335.878723028166,337.880445735209,"left",1,1,0.413548497411284,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"70","C02N10_t1_nback.csv","N","left","Lure",0,5,5,5,339.378849263775,341.381072101224,"left",1,1,0.384811690796596,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"71","C02N10_t1_nback.csv","Z","left","Distractor",0,6,6,6,342.878907489348,344.880579830469,"left",1,1,0.389339811824357,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"72","C02N10_t1_nback.csv","L","left","Pretarget",0,7,7,7,346.37954572504,348.381021735302,"left",1,1,0.377424261040687,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"73","C02N10_t1_nback.csv","L","right","Target",0,8,8,8,349.87863641161,351.878707950469,"right",1,1,0.495022274890289,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"74","C02N10_t1_nback.csv","H","left","Distractor",0,9,9,9,353.378692070768,355.379338166109,"None",0,1,NA,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"75","C02N10_t1_nback.csv","L","left","Lure",0,10,10,10,356.878714687313,358.88084673778,"left",1,1,0.501062336010364,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"76","C02N10_t1_nback.csv","X","left","Pretarget",0,11,11,11,360.378824882819,362.381089745338,"left",1,1,0.42475603805633,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
