"","id","time...1","b1.Rsp","b1.CRsp","b1.RT","time...5","b2.Rsp","b2.CRsp","b2.RT","time...9","b3.Rsp","b3.CRsp","b3.RT","time...13","b4.Rsp","b4.CRsp","b4.RT","time...17","b5.Rsp","b5.CRsp","b5.RT","time...21","b6.Rsp","b6.CRsp","b6.RT"
"15","002.csv","2019_5_24_12_54_7.198",1,1,274,"2019_5_24_13_1_27.602",0,0,0,"2019_5_24_13_8_44.672",1,0,864,"2019_5_24_13_16_3.676",1,1,1596,"2019_5_24_13_23_16.761",0,0,0,"2019_5_24_13_30_29.979",1,0,260
"16","002.csv","2019_5_24_12_54_10.233",1,0,264,"2019_5_24_13_1_30.637",0,0,0,"2019_5_24_13_8_47.706",0,0,0,"2019_5_24_13_16_6.71",1,1,809,"2019_5_24_13_23_19.795",0,0,0,"2019_5_24_13_30_33.013",1,0,298
"17","002.csv","2019_5_24_12_54_13.267",1,0,349,"2019_5_24_13_1_33.671",0,0,0,"2019_5_24_13_8_50.741",1,1,851,"2019_5_24_13_16_9.744",0,0,0,"2019_5_24_13_23_22.829",1,1,674,"2019_5_24_13_30_36.047",1,0,400
"18","002.csv","2019_5_24_12_54_16.301",1,0,363,"2019_5_24_13_1_36.705",0,0,0,"2019_5_24_13_8_53.775",1,1,793,"2019_5_24_13_16_12.779",1,1,733,"2019_5_24_13_23_25.864",0,0,0,"2019_5_24_13_30_39.082",1,1,325
"19","002.csv","2019_5_24_12_54_19.336",1,0,313,"2019_5_24_13_1_39.739",0,0,0,"2019_5_24_13_8_56.809",0,0,0,"2019_5_24_13_16_15.813",0,0,0,"2019_5_24_13_23_28.898",1,1,590,"2019_5_24_13_30_42.116",1,0,659
"20","002.csv","2019_5_24_12_54_22.37",1,0,279,"2019_5_24_13_1_42.774",0,0,0,"2019_5_24_13_8_59.843",0,0,0,"2019_5_24_13_16_18.847",0,0,0,"2019_5_24_13_23_31.932",0,0,0,"2019_5_24_13_30_45.15",1,0,273
"21","002.csv","2019_5_24_12_54_25.404",1,0,388,"2019_5_24_13_1_45.808",1,0,688,"2019_5_24_13_9_2.878",0,0,0,"2019_5_24_13_16_21.881",0,0,0,"2019_5_24_13_23_34.966",0,0,0,"2019_5_24_13_30_48.185",1,0,254
"22","002.csv","2019_5_24_12_54_28.439",1,0,250,"2019_5_24_13_1_48.842",0,0,0,"2019_5_24_13_9_5.912",1,1,744,"2019_5_24_13_16_24.915",0,0,0,"2019_5_24_13_23_38",0,0,0,"2019_5_24_13_30_51.219",1,0,236
"23","002.csv","2019_5_24_12_54_31.473",1,1,279,"2019_5_24_13_1_51.877",0,0,0,"2019_5_24_13_9_8.946",0,0,0,"2019_5_24_13_16_27.95",0,0,0,"2019_5_24_13_23_41.035",0,0,0,"2019_5_24_13_30_54.253",1,0,242
"24","002.csv","2019_5_24_12_54_34.507",1,0,229,"2019_5_24_13_1_54.911",0,0,0,"2019_5_24_13_9_11.98",1,0,1107,"2019_5_24_13_16_30.984",0,0,0,"2019_5_24_13_23_44.069",1,0,962,"2019_5_24_13_30_57.287",1,0,263
"25","002.csv","2019_5_24_12_54_37.541",1,0,251,"2019_5_24_13_1_57.945",0,0,0,"2019_5_24_13_9_15.015",0,0,0,"2019_5_24_13_16_34.018",0,0,0,"2019_5_24_13_23_47.103",0,0,0,"2019_5_24_13_31_0.322",1,0,237
"26","002.csv","2019_5_24_12_54_40.575",1,1,329,"2019_5_24_13_2_0.979",0,0,0,"2019_5_24_13_9_18.049",0,0,0,"2019_5_24_13_16_37.053",0,0,0,"2019_5_24_13_23_50.138",0,0,0,"2019_5_24_13_31_3.356",1,1,251
